  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-21 01:40:18 /admin/rooms/create ................................................................ ~ 512.30ms
  2026-05-21 01:40:18 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.52ms
  2026-05-21 01:40:18 /build/assets/app-CasETRYy.js ........................................................ ~ 2.34ms
  2026-05-21 01:40:18 /images/logo.svg ..................................................................... ~ 4.36ms
  2026-05-21 01:44:34 /admin/rooms/create ................................................................ ~ 513.48ms
  2026-05-21 01:44:34 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.49ms
  2026-05-21 01:44:34 /build/assets/app-CasETRYy.js ........................................................ ~ 2.88ms
  2026-05-21 01:44:34 /images/logo.svg ..................................................................... ~ 4.56ms
  2026-05-21 02:15:14 /admin/rooms/create ..................................................................... ~ 39s
  2026-05-21 02:15:54 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.44ms
  2026-05-21 02:15:54 /build/assets/app-CasETRYy.js ........................................................ ~ 2.30ms
  2026-05-21 02:15:54 /images/logo.svg ..................................................................... ~ 4.85ms
  2026-05-21 02:16:58 /admin/rooms/create ................................................................ ~ 514.53ms
  2026-05-21 02:16:59 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.41ms
  2026-05-21 02:16:59 /build/assets/app-CasETRYy.js ........................................................ ~ 2.39ms
  2026-05-21 02:16:59 /images/logo.svg ..................................................................... ~ 4.12ms
  2026-05-21 02:17:39 / .................................................................................. ~ 516.41ms
  2026-05-21 02:17:40 /images/logo.svg ..................................................................... ~ 0.50ms
  2026-05-21 02:17:43 /dashboard ............................................................................... ~ 1s
  2026-05-21 02:17:44 /admin/dashboard ..................................................................... ~ 0.61ms
  2026-05-21 02:17:45 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.43ms
  2026-05-21 02:17:45 /build/assets/app-CasETRYy.js ........................................................ ~ 2.74ms
  2026-05-21 02:17:45 /images/logo.svg ..................................................................... ~ 4.79ms
  2026-05-21 02:18:01 /admin/rooms ............................................................................. ~ 8s
  2026-05-21 02:18:09 /admin/rooms ............................................................................. ~ 2s
  2026-05-21 02:19:08 /admin/rooms ....................................................................... ~ 512.76ms
  2026-05-21 02:19:09 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.47ms
  2026-05-21 02:19:09 /build/assets/app-CasETRYy.js ........................................................ ~ 2.48ms
  2026-05-21 02:19:09 /images/logo.svg ..................................................................... ~ 4.29ms
  2026-05-21 02:20:31 /admin/rooms ............................................................................. ~ 1s
  2026-05-21 02:20:32 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.41ms
  2026-05-21 02:20:32 /build/assets/app-CasETRYy.js ........................................................ ~ 2.40ms
  2026-05-21 02:20:32 /images/logo.svg ..................................................................... ~ 4.41ms
  2026-05-21 02:21:21 /admin/rooms ............................................................................. ~ 1s
  2026-05-21 02:21:22 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.42ms
  2026-05-21 02:21:22 /build/assets/app-CasETRYy.js ........................................................ ~ 2.31ms
  2026-05-21 02:21:22 /images/logo.svg ..................................................................... ~ 4.09ms
  2026-05-21 02:22:09 /admin/rooms/1/edit ................................................................ ~ 513.35ms
  2026-05-21 02:22:10 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.42ms
  2026-05-21 02:22:10 /build/assets/app-CasETRYy.js ........................................................ ~ 2.81ms
  2026-05-21 02:22:10 /storage/rooms/Xsg6SiDDhoiuaEZZwU382DIzkALKgSRiycSLnfmW.jpg .......................... ~ 5.46ms
  2026-05-21 02:22:10 /images/logo.svg ..................................................................... ~ 7.54ms
  2026-05-21 02:22:48 /admin/rooms/1 ........................................................................... ~ 2s
  2026-05-21 02:22:50 /admin/rooms ............................................................................. ~ 1s
  2026-05-21 02:22:51 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.44ms
  2026-05-21 02:22:51 /build/assets/app-CasETRYy.js ........................................................ ~ 2.36ms
  2026-05-21 02:22:51 /images/logo.svg ..................................................................... ~ 3.96ms
  2026-05-21 02:22:54 /admin/rooms/create ................................................................ ~ 504.21ms
  2026-05-21 02:22:55 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.37ms
  2026-05-21 02:22:55 /build/assets/app-CasETRYy.js ........................................................ ~ 2.04ms
  2026-05-21 02:22:55 /images/logo.svg ..................................................................... ~ 3.60ms
  2026-05-21 02:23:49 /admin/rooms ....................................................................... ~ 515.13ms
  2026-05-21 02:23:50 /admin/rooms ....................................................................... ~ 510.10ms
  2026-05-21 02:23:50 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.45ms
  2026-05-21 02:23:50 /build/assets/app-CasETRYy.js ........................................................ ~ 2.37ms
  2026-05-21 02:23:50 /images/logo.svg ..................................................................... ~ 4.35ms
  2026-05-21 02:23:52 /admin/rooms/create ................................................................ ~ 511.95ms
  2026-05-21 02:23:53 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.43ms
  2026-05-21 02:23:53 /build/assets/app-CasETRYy.js ........................................................ ~ 2.74ms
  2026-05-21 02:23:53 /images/logo.svg ..................................................................... ~ 4.89ms
  2026-05-21 02:24:49 /admin/rooms ....................................................................... ~ 513.15ms
  2026-05-21 02:24:50 /admin/rooms ....................................................................... ~ 512.22ms
  2026-05-21 02:24:50 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.40ms
  2026-05-21 02:24:50 /build/assets/app-CasETRYy.js ........................................................ ~ 2.46ms
  2026-05-21 02:24:50 /images/logo.svg ..................................................................... ~ 4.63ms
  2026-05-21 02:26:58 /admin/rooms ............................................................................. ~ 1s
  2026-05-21 02:26:58 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.34ms
  2026-05-21 02:26:58 /build/assets/app-CasETRYy.js ........................................................ ~ 2.10ms
  2026-05-21 02:26:58 /images/logo.svg ..................................................................... ~ 3.87ms
  2026-05-21 02:27:00 /admin/rooms ....................................................................... ~ 513.26ms
  2026-05-21 02:27:01 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.41ms
  2026-05-21 02:27:01 /build/assets/app-CasETRYy.js ........................................................ ~ 2.13ms
  2026-05-21 02:27:01 /images/logo.svg ..................................................................... ~ 3.75ms
  2026-05-21 02:28:00 /admin/rooms ....................................................................... ~ 515.37ms
  2026-05-21 02:28:00 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.47ms
  2026-05-21 02:28:00 /build/assets/app-CasETRYy.js ........................................................ ~ 2.72ms
  2026-05-21 02:28:00 /images/logo.svg ..................................................................... ~ 5.81ms
  2026-05-21 02:30:45 / ........................................................................................ ~ 1s
  2026-05-21 02:30:46 /images/logo.svg ................................................................... ~ 506.07ms
  2026-05-21 02:30:53 /rooms ............................................................................. ~ 511.44ms
  2026-05-21 02:30:54 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.46ms
  2026-05-21 02:30:54 /build/assets/app-CasETRYy.js ........................................................ ~ 2.68ms
  2026-05-21 02:30:54 /images/logo.svg ..................................................................... ~ 4.75ms
  2026-05-21 02:30:56 /facilities ........................................................................ ~ 501.03ms
  2026-05-21 02:30:56 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.46ms
  2026-05-21 02:30:56 /build/assets/app-CasETRYy.js ........................................................ ~ 2.32ms
  2026-05-21 02:30:56 /images/logo.svg ..................................................................... ~ 4.02ms
  2026-05-21 02:30:57 /about ............................................................................. ~ 515.09ms
  2026-05-21 02:30:58 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.65ms
  2026-05-21 02:30:58 /build/assets/app-CasETRYy.js ........................................................ ~ 3.42ms
  2026-05-21 02:30:58 /images/logo.svg ..................................................................... ~ 5.86ms
  2026-05-21 02:31:03 / .................................................................................. ~ 514.02ms
  2026-05-21 02:31:04 /images/logo.svg ..................................................................... ~ 0.66ms
  2026-05-21 02:31:41 /register ................................................................................ ~ 2s
  2026-05-21 02:31:43 /dashboard ......................................................................... ~ 510.08ms
  2026-05-21 02:31:43 /admin/dashboard ......................................................................... ~ 2s
  2026-05-21 02:31:46 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.41ms
  2026-05-21 02:31:46 /build/assets/app-CasETRYy.js ........................................................ ~ 2.27ms
  2026-05-21 02:31:46 /images/logo.svg ..................................................................... ~ 4.02ms
  2026-05-21 02:31:50 /admin/rooms ............................................................................. ~ 1s
  2026-05-21 02:31:51 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.39ms
  2026-05-21 02:31:51 /build/assets/app-CasETRYy.js ........................................................ ~ 2.57ms
  2026-05-21 02:31:51 /images/logo.svg ..................................................................... ~ 4.55ms
  2026-05-21 02:31:53 /admin/rooms/create ...................................................................... ~ 1s
  2026-05-21 02:31:54 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.39ms
  2026-05-21 02:31:54 /build/assets/app-CasETRYy.js ........................................................ ~ 2.30ms
  2026-05-21 02:31:54 /images/logo.svg ..................................................................... ~ 4.29ms
  2026-05-21 02:32:21 /admin/rooms ....................................................................... ~ 512.56ms
  2026-05-21 02:32:21 /admin/rooms ....................................................................... ~ 509.00ms
  2026-05-21 02:32:22 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.47ms
  2026-05-21 02:32:22 /build/assets/app-CasETRYy.js ........................................................ ~ 2.55ms
  2026-05-21 02:32:22 /images/logo.svg ..................................................................... ~ 4.51ms
  2026-05-21 02:32:23 /admin/rooms/create ................................................................ ~ 515.94ms
  2026-05-21 02:32:24 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.48ms
  2026-05-21 02:32:24 /images/logo.svg ..................................................................... ~ 2.46ms
  2026-05-21 02:32:24 /build/assets/app-CasETRYy.js ........................................................ ~ 4.69ms
  2026-05-21 02:32:52 /admin/rooms ....................................................................... ~ 511.62ms
  2026-05-21 02:32:53 /admin/rooms ....................................................................... ~ 510.22ms
  2026-05-21 02:32:53 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.42ms
  2026-05-21 02:32:53 /build/assets/app-CasETRYy.js ........................................................ ~ 2.49ms
  2026-05-21 02:32:53 /images/logo.svg ..................................................................... ~ 5.12ms
  2026-05-21 02:32:54 /admin/rooms/create ................................................................ ~ 515.96ms
  2026-05-21 02:32:55 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.55ms
  2026-05-21 02:32:55 /build/assets/app-CasETRYy.js ........................................................ ~ 2.81ms
  2026-05-21 02:32:55 /images/logo.svg ..................................................................... ~ 5.50ms
  2026-05-21 02:33:22 /admin/rooms ....................................................................... ~ 513.77ms
  2026-05-21 02:33:23 /admin/rooms ....................................................................... ~ 514.18ms
  2026-05-21 02:33:23 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.43ms
  2026-05-21 02:33:23 /build/assets/app-CasETRYy.js ........................................................ ~ 2.03ms
  2026-05-21 02:33:23 /images/logo.svg ..................................................................... ~ 3.87ms
  2026-05-21 02:33:25 /admin/rooms/create ................................................................ ~ 513.53ms
  2026-05-21 02:33:25 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.36ms
  2026-05-21 02:33:25 /build/assets/app-CasETRYy.js ........................................................ ~ 1.95ms
  2026-05-21 02:33:25 /images/logo.svg ..................................................................... ~ 4.25ms
  2026-05-21 02:34:03 /admin/rooms ....................................................................... ~ 512.96ms
  2026-05-21 02:34:04 /admin/rooms ....................................................................... ~ 509.09ms
  2026-05-21 02:34:04 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.51ms
  2026-05-21 02:34:04 /build/assets/app-CasETRYy.js ........................................................ ~ 2.72ms
  2026-05-21 02:34:04 /images/logo.svg ..................................................................... ~ 5.09ms
  2026-05-21 02:35:14 /admin/rooms ....................................................................... ~ 514.73ms
  2026-05-21 02:35:15 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.36ms
  2026-05-21 02:35:15 /build/assets/app-CasETRYy.js ........................................................ ~ 2.01ms
  2026-05-21 02:35:15 /images/logo.svg ..................................................................... ~ 3.86ms
  2026-05-21 02:35:16 /admin/rooms ....................................................................... ~ 514.90ms
  2026-05-21 02:35:17 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.44ms
  2026-05-21 02:35:17 /build/assets/app-CasETRYy.js ........................................................ ~ 2.77ms
  2026-05-21 02:35:17 /images/logo.svg ..................................................................... ~ 4.86ms
  2026-05-21 02:36:09 /admin/rooms ............................................................................. ~ 2s
  2026-05-21 02:36:11 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.42ms
  2026-05-21 02:36:11 /build/assets/app-CasETRYy.js ........................................................ ~ 2.19ms
  2026-05-21 02:36:11 /images/logo.svg ..................................................................... ~ 3.71ms
  2026-05-21 02:36:47 / ........................................................................................ ~ 1s
  2026-05-21 02:36:48 /images/logo.svg ..................................................................... ~ 0.58ms
  2026-05-21 02:37:06 /dashboard ......................................................................... ~ 513.33ms
  2026-05-21 02:37:07 /admin/dashboard ......................................................................... ~ 1s
  2026-05-21 02:37:08 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.41ms
  2026-05-21 02:37:08 /build/assets/app-CasETRYy.js ........................................................ ~ 2.31ms
  2026-05-21 02:37:08 /images/logo.svg ..................................................................... ~ 4.13ms
  2026-05-21 02:37:12 /admin/rooms ....................................................................... ~ 516.26ms
  2026-05-21 02:37:12 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.56ms
  2026-05-21 02:37:12 /build/assets/app-CasETRYy.js ........................................................ ~ 2.50ms
  2026-05-21 02:37:12 /images/logo.svg ..................................................................... ~ 4.54ms
  2026-05-21 02:37:43 /admin/rooms/create ...................................................................... ~ 1s
  2026-05-21 02:37:44 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.59ms
  2026-05-21 02:37:44 /build/assets/app-CasETRYy.js ........................................................ ~ 2.95ms
  2026-05-21 02:37:44 /images/logo.svg ..................................................................... ~ 4.90ms
  2026-05-21 02:38:07 /admin/rooms ....................................................................... ~ 510.42ms
  2026-05-21 02:38:07 /admin/rooms ....................................................................... ~ 507.98ms
  2026-05-21 02:38:08 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.83ms
  2026-05-21 02:38:08 /build/assets/app-CasETRYy.js ........................................................ ~ 4.51ms
  2026-05-21 02:38:08 /images/logo.svg ..................................................................... ~ 7.99ms
  2026-05-21 02:38:15 /admin/rooms/create .................................................................. ~ 0.91ms
  2026-05-21 02:38:15 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.59ms
  2026-05-21 02:38:15 /build/assets/app-CasETRYy.js ........................................................ ~ 3.25ms
  2026-05-21 02:38:15 /images/logo.svg ..................................................................... ~ 5.21ms
  2026-05-21 02:38:34 /admin/rooms ....................................................................... ~ 510.51ms
  2026-05-21 02:38:35 /admin/rooms ....................................................................... ~ 510.39ms
  2026-05-21 02:38:35 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.90ms
  2026-05-21 02:38:35 /build/assets/app-CasETRYy.js ........................................................ ~ 3.08ms
  2026-05-21 02:38:35 /images/logo.svg ..................................................................... ~ 5.53ms
  2026-05-21 02:38:47 /admin/rooms ....................................................................... ~ 513.68ms
  2026-05-21 02:38:47 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.43ms
  2026-05-21 02:38:47 /build/assets/app-CasETRYy.js ........................................................ ~ 2.07ms
  2026-05-21 02:38:47 /images/logo.svg ..................................................................... ~ 3.61ms
  2026-05-21 02:49:33 / ........................................................................................ ~ 1s
  2026-05-21 02:49:34 /images/logo.svg ..................................................................... ~ 0.76ms
  2026-05-21 02:50:06 /register ................................................................................ ~ 1s
  2026-05-21 02:50:07 /dashboard ......................................................................... ~ 505.04ms
  2026-05-21 02:50:07 /admin/dashboard ......................................................................... ~ 2s
  2026-05-21 02:50:09 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.34ms
  2026-05-21 02:50:09 /build/assets/app-CasETRYy.js ........................................................ ~ 3.20ms
  2026-05-21 02:50:10 /images/logo.svg ..................................................................... ~ 5.53ms
  2026-05-21 02:50:26 /admin/dashboard ................................................................... ~ 516.53ms
  2026-05-21 02:50:26 /login ................................................................................... ~ 1s
